speciesKey,authorship,basionym,basionymKey,canonicalName,class,classKey,constituentKey,datasetKey,family,familyKey,genus,genusKey,issues,key,kingdom,kingdomKey,lastCrawled,lastInterpreted,nameKey,nameType,nomenclaturalStatus,nubKey,numDescendants,order,orderKey,origin,parent,parentKey,phylum,phylumKey,publishedIn,rank,remarks,scientificName,sourceTaxonKey,species,taxonID,taxonomicStatus,vernacularName,vietnameseName
3743573,(Hook.fil. & Thomson) J.Sinclair,Myristica erratica Hook.fil. & Thomson,5564966,Knema erratica,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Myristicaceae,2439,Knema,7333596,[],3743573,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:04:52.176+00:00,41067594,SCIENTIFIC,[],3743573,0,Magnoliales,718,SOURCE,Knema,7333596,Tracheophyta,7707728,"Sinclair, J. (1961). In: Gard. Bull. Straits Settlem. 18: 205, F. 9.",SPECIES,,Knema erratica (Hook.fil. & Thomson) J.Sinclair,,Knema erratica,gbif:3743573,ACCEPTED,,Máu chó lưu linh
3743505,(Lam.) Warb.,Myristica globularia Lam.,5564778,Knema globularia,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Myristicaceae,2439,Knema,7333596,[],3743505,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:04:51.577+00:00,5885775,SCIENTIFIC,[],3743505,0,Magnoliales,718,SOURCE,Knema,7333596,Tracheophyta,7707728,Warb. (1897). In: Monogr. Myrist. 601.,SPECIES,,Knema globularia (Lam.) Warb.,,Knema globularia,gbif:3743505,ACCEPTED,,"Máu chó, Máu chó lá nhỏ, Co lướt (Thái)"
2901155,(Retz.) DC.,Spermacoce sumatrensis Retz.,2901174,Knoxia sumatrensis,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Rubiaceae,8798,Knoxia,2901145,[],2901155,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:58.692+00:00,5886028,SCIENTIFIC,[],2901155,0,Gentianales,412,SOURCE,Knoxia,2901145,Tracheophyta,7707728,Prodr. 4: 569 (1830),SPECIES,,Knoxia sumatrensis (Retz.) DC.,,Knoxia sumatrensis,gbif:2901155,ACCEPTED,,Trạch côn ngù
2901184,(Spreng.) M.A.Rau,Spermacoce roxburghii Spreng.,2901185,Knoxia roxburghii,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Rubiaceae,8798,Knoxia,2901145,[],2901184,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:58.632+00:00,5888893,SCIENTIFIC,[],2901184,0,Gentianales,412,SOURCE,Knoxia,2901145,Tracheophyta,7707728,Bull. Bot. Surv. India 10(Suppl. 2): 40 (1969),SPECIES,,Knoxia roxburghii (Spreng.) M.A.Rau,,Knoxia roxburghii,gbif:2901184,ACCEPTED,,
5383936,(L.) A.J.Scott,Chenopodium scoparia L.,3756328,Bassia scoparia,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Amaranthaceae,3064,Bassia,3083576,[],5383936,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:11:57.655+00:00,1371042,SCIENTIFIC,[],5383936,5,Caryophyllales,422,SOURCE,Bassia,3083576,Tracheophyta,7707728,"Scott, A. J. (1978). In: Feddes Repert., 89(2-3): 108.",SPECIES,,Bassia scoparia (L.) A.J.Scott,,Bassia scoparia,gbif:5383936,ACCEPTED,Belvedere,Cỏ Đổi Màu
5421180,Laxm.,,,Koelreuteria paniculata,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Sapindaceae,6657,Koelreuteria,3190053,[],5421180,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:05.262+00:00,5893238,SCIENTIFIC,[],5421180,2,Sapindales,933,SOURCE,Koelreuteria,3190053,Tracheophyta,7707728,Laxm. (1772). In: Novi Comment. Acad. Sci. Petrop. 16: 561.,SPECIES,,Koelreuteria paniculata Laxm.,,Koelreuteria paniculata,gbif:5421180,ACCEPTED,Pride-of-India,"mưa vàng, kim vũ, Lát núi."
3169625,(L.) R.Br. ex Roem. & Schult.,Nerium divaricatum L.,8435080,Tabernaemontana divaricata,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Apocynaceae,6701,Tabernaemontana,3169624,[],3169625,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:14:28.623+00:00,10970760,SCIENTIFIC,[],3169625,0,Gentianales,412,SOURCE,Tabernaemontana,3169624,Tracheophyta,7707728,R. Br. (1819). In: Syst. Veg. 4: 427.,SPECIES,,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,,Tabernaemontana divaricata,gbif:3169625,ACCEPTED,Pinwheelflower,Hoa ngọc bút
5536025,(Ker Gawl.) A.DC.,Cerbera fruticosa Roxb.,5535876,Kopsia fruticosa,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Apocynaceae,6701,Kopsia,3230914,[],5536025,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:14:21.022+00:00,5898767,SCIENTIFIC,[],5536025,0,Gentianales,412,SOURCE,Kopsia,3230914,Tracheophyta,7707728,A. DC. (1844). In: Prodr. 8: 352.,SPECIES,,Kopsia fruticosa (Ker Gawl.) A.DC.,,Kopsia fruticosa,gbif:5536025,ACCEPTED,shrub-vinca,"Trang tây, Cốp bụi"
5536040,Blume,,,Kopsia arborea,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Apocynaceae,6701,Kopsia,3230914,[],5536040,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:14:21.004+00:00,5898729,SCIENTIFIC,[],5536040,1,Gentianales,412,SOURCE,Kopsia,3230914,Tracheophyta,7707728,Blume. (1823). In: Catalogus 13.,SPECIES,,Kopsia arborea Blume,,Kopsia arborea,gbif:5536040,ACCEPTED,,Cốp lá bắc thon; Trang tây nguyên
8386557,(L.) Eichler,Viscum opuntioides L.,7295636,Dendrophthora opuntioides,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Viscaceae,2399,Dendrophthora,2889790,[],8386557,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:02:38.627+00:00,3382021,SCIENTIFIC,[],8386557,1,Santalales,934,SOURCE,Dendrophthora,2889790,Tracheophyta,7707728,"Eichler. (1868). In: Mart., Fl. Bras. 5(2): 102.",SPECIES,,Dendrophthora opuntioides (L.) Eichler,,Dendrophthora opuntioides,gbif:8386557,ACCEPTED,,
